,0,1,2,3,4,5,6,7,8,9,10,11,12,13
zone,Restricted Area,Mid High Post,Left Wing,Top of the Key,Right Wing,Left Conor,Right Conor,Rirht Low Post,Left Low Post,Mid MidRange,MidRange Left Wing,MidRange Right Wing,MidRange Left Conor,MidRange Right Conor
James Harden,60.29,41.1,32.56,35.16,36.46,40.0,38.1,39.39,42.86,45.16,60.0,37.04,25.0,0.0
James Johnson,80.0,,0.0,,0.0,,,,,33.33,100.0,0.0,,
James Wiseman,,100.0,,0.0,,,,100.0,,0.0,,,,
Jamison Battle,53.66,57.14,46.55,36.96,36.17,43.75,36.36,50.0,33.33,66.67,100.0,25.0,50.0,0.0
Jarace Walker,56.79,49.12,39.22,37.21,43.64,43.48,41.67,25.0,64.29,45.45,66.67,22.22,100.0,0.0
Jared Butler,66.04,40.23,42.22,31.37,22.86,45.45,43.75,34.09,47.06,54.55,42.86,50.0,,
Jared McCain,58.57,51.28,54.55,25.0,41.18,29.41,38.46,40.0,0.0,45.45,66.67,33.33,,
Jared Rhoden,68.29,25.0,25.0,16.67,0.0,50.0,37.5,100.0,,,0.0,0.0,,
Jaren Jackson Jr.,63.86,50.22,43.06,35.61,37.72,38.64,40.43,51.75,48.96,60.0,33.33,41.67,20.0,0.0
Jarred Vanderbilt,60.76,18.18,0.0,,0.0,22.22,37.5,100.0,0.0,,,,,
Jarrett Allen,77.54,59.26,,0.0,0.0,,0.0,60.71,56.67,0.0,,,66.67,0.0
Javonte Green,64.0,34.62,34.62,12.5,36.84,25.0,35.56,20.0,28.57,0.0,0.0,,0.0,
Jaxson Hayes,81.25,50.0,,0.0,,0.0,,16.67,0.0,0.0,,,,
Jay Huff,81.01,64.71,44.19,42.35,31.82,30.77,44.0,60.0,,0.0,,0.0,0.0,0.0
Jaylen Brown,68.05,44.72,23.81,32.65,34.82,40.48,44.19,41.79,39.34,46.03,45.76,31.71,44.44,25.0
Jaylen Clark,54.76,40.0,10.0,,88.89,52.94,25.0,50.0,75.0,0.0,0.0,,,
Jaylen Martin,75.0,36.36,62.5,0.0,20.0,0.0,50.0,11.11,20.0,0.0,,0.0,,
Jaylen Nowell,54.55,33.33,12.5,33.33,28.57,100.0,0.0,75.0,33.33,0.0,0.0,0.0,,
Jaylen Sims,80.0,25.0,40.0,0.0,100.0,0.0,50.0,0.0,50.0,,0.0,,,
Jaylen Wells,69.03,46.58,36.73,33.33,32.65,35.35,38.89,39.13,46.43,14.29,26.67,44.44,14.29,55.56
Jaylin Williams,62.79,30.77,35.0,40.32,37.14,58.33,53.85,57.14,40.0,33.33,0.0,100.0,50.0,100.0
Jaylon Tyson,52.73,45.45,25.0,40.0,40.0,14.29,64.71,50.0,16.67,0.0,100.0,0.0,,0.0
Jayson Tatum,73.35,40.62,34.43,34.91,32.53,37.14,58.33,31.03,49.23,32.73,45.95,40.98,43.75,30.77
Jazian Gortman,50.0,0.0,,0.0,40.0,0.0,100.0,0.0,100.0,,50.0,100.0,,
Jeenathan Williams,80.0,38.46,25.0,0.0,28.57,0.0,37.5,60.0,71.43,,0.0,,,
Jeff Dowtin,59.26,52.38,31.82,40.0,47.06,36.36,60.0,37.5,44.44,40.0,44.44,62.5,0.0,60.0
Jeff Green,76.47,63.64,28.57,40.0,41.67,34.78,42.86,85.71,0.0,100.0,100.0,100.0,,66.67
Jerami Grant,47.18,20.0,30.65,37.5,39.22,38.46,36.36,23.08,31.82,0.0,30.0,50.0,66.67,30.77
Jeremiah Robinson-Earl,65.22,39.39,16.67,15.38,29.41,48.78,38.78,30.0,37.5,50.0,0.0,66.67,75.0,25.0
Jeremy Sochan,68.51,33.9,53.33,15.38,26.09,40.0,21.74,16.67,0.0,28.57,,33.33,,0.0
Jericho Sims,76.27,30.0,,,,,,0.0,50.0,,,,,
Jett Howard,74.19,40.0,20.37,25.58,42.86,32.0,38.89,54.55,0.0,40.0,33.33,50.0,,100.0
Jevon Carter,53.33,55.56,23.33,40.74,30.43,31.58,66.67,50.0,16.67,66.67,,0.0,,100.0
Jimmy Butler,70.0,40.8,26.09,25.0,32.35,33.33,38.46,36.36,38.89,42.11,57.14,31.82,50.0,9.09
Jock Landale,65.15,41.18,44.44,50.0,0.0,0.0,0.0,60.0,71.43,28.57,33.33,50.0,,50.0
Joe Ingles,0.0,75.0,16.67,50.0,20.0,,0.0,,0.0,,0.0,,,
Joel Embiid,63.16,47.46,18.75,31.82,35.29,,,50.0,37.5,34.88,50.0,27.27,100.0,50.0
John Collins,68.82,51.4,35.29,38.1,40.0,33.33,50.0,54.55,35.29,36.36,33.33,52.94,0.0,42.86
John Konchar,75.86,40.0,50.0,40.0,27.27,32.14,30.0,,0.0,,,,,
Johnny Davis,64.0,33.33,25.0,50.0,22.22,20.0,14.29,50.0,25.0,100.0,,50.0,,
Johnny Furphy,53.33,57.14,42.86,16.67,20.0,28.57,40.0,,0.0,,,0.0,,0.0
Johnny Juzang,68.63,49.09,33.33,31.91,39.39,37.7,44.12,36.36,46.15,33.33,41.67,62.5,25.0,100.0
Jonas Valančiūnas,68.8,52.66,28.57,22.73,16.67,0.0,0.0,51.16,42.86,41.67,44.44,45.45,50.0,25.0
Jonathan Isaac,68.0,36.36,15.79,11.11,27.27,22.22,36.07,33.33,20.0,33.33,0.0,25.0,22.22,25.0
Jonathan Kuminga,70.65,37.97,33.33,17.86,41.03,35.29,29.17,34.15,38.3,26.67,33.33,36.36,50.0,42.86
Jonathan Mogbo,59.68,31.58,14.29,0.0,45.45,20.0,38.89,25.0,15.38,0.0,37.5,0.0,16.67,100.0
Jordan Clarkson,60.38,39.64,33.78,40.58,32.76,50.0,42.86,46.51,27.27,57.14,55.56,50.0,0.0,0.0
Jordan Goodwin,48.0,55.88,53.85,30.77,12.5,23.53,52.94,,20.0,40.0,40.0,0.0,,
Jordan Hawkins,57.41,35.29,30.34,30.67,33.33,33.33,50.0,41.67,30.77,52.38,15.79,39.39,66.67,33.33
Jordan McLaughlin,60.0,16.67,66.67,44.44,38.46,0.0,60.0,50.0,33.33,0.0,100.0,50.0,,
Jordan Miller,56.67,45.16,27.27,16.67,22.22,11.11,25.0,,42.86,50.0,,0.0,100.0,
Jordan Poole,68.35,40.79,39.25,37.5,39.44,52.17,20.59,25.49,35.48,25.0,30.0,38.1,,33.33
Jordan Walsh,66.67,20.0,28.57,33.33,28.57,20.0,30.0,0.0,66.67,,,,,
Jose Alvarado,54.43,39.51,36.71,41.38,30.93,48.0,27.03,34.78,14.29,50.0,0.0,33.33,,50.0
Josh Christopher,53.85,20.0,0.0,25.0,25.0,0.0,0.0,0.0,,100.0,,,,
Josh Giddey,58.53,49.36,41.18,35.09,33.93,40.43,36.36,50.0,39.53,0.0,25.0,50.0,0.0,33.33
Josh Green,59.77,31.58,37.5,40.0,35.29,41.33,39.47,46.15,57.14,50.0,20.0,36.36,0.0,33.33
Josh Hart,70.0,44.23,36.96,33.33,36.0,34.09,31.43,35.71,50.0,38.46,52.94,25.0,0.0,0.0
Josh Minott,65.0,100.0,28.57,100.0,18.18,30.0,50.0,40.0,,,,,,
Josh Okogie,65.28,31.25,46.15,25.0,22.73,33.33,45.45,37.5,33.33,,,0.0,,50.0
Josh Richardson,50.0,28.57,44.44,0.0,25.0,0.0,25.0,,0.0,0.0,,0.0,,50.0
Jrue Holiday,72.6,37.5,40.48,28.57,43.42,28.79,30.95,38.89,26.32,81.82,44.44,33.33,100.0,50.0
Julian Champagnie,63.71,22.58,35.71,34.85,35.51,44.05,36.76,45.45,16.67,37.5,,100.0,100.0,0.0
Julian Phillips,61.76,43.48,27.78,15.38,10.53,40.82,40.38,75.0,50.0,,,,0.0,
Julian Strawther,66.3,43.04,32.47,32.93,34.29,48.15,44.44,53.33,46.15,33.33,0.0,0.0,,33.33
Julius Randle,70.38,42.68,35.71,40.19,34.12,22.92,35.9,32.14,41.94,62.07,48.0,31.25,80.0,50.0
Justin Champagnie,73.03,44.83,42.86,30.77,40.0,30.95,45.45,40.0,33.33,0.0,0.0,0.0,,
Justin Edwards,62.07,51.11,36.36,14.81,42.5,35.48,52.94,33.33,20.0,58.33,44.44,71.43,33.33,
Justin Minaya,50.0,100.0,0.0,,25.0,50.0,0.0,,0.0,,,,,
Jusuf Nurkić,64.34,48.39,34.29,33.33,16.67,50.0,37.5,33.33,42.86,0.0,0.0,,,
KJ Martin,70.59,51.72,16.67,0.0,0.0,40.74,17.65,100.0,66.67,,,,,100.0
KJ Simpson,60.66,29.31,26.67,20.59,26.67,33.33,22.22,40.91,25.0,12.5,33.33,0.0,,
Kai Jones,94.59,55.56,0.0,50.0,,0.0,,66.67,33.33,33.33,,50.0,100.0,
Karl-Anthony Towns,67.32,45.91,44.83,41.51,39.06,35.71,33.33,36.11,47.56,37.5,34.78,12.5,55.0,50.0
Karlo Matković,76.19,60.0,28.57,30.77,12.5,38.46,33.33,33.33,50.0,0.0,,,,
Kawhi Leonard,74.47,48.21,38.71,43.4,38.16,52.17,38.46,51.72,55.56,40.91,36.0,50.0,28.57,33.33
Keaton Wallace,50.0,58.14,55.56,30.0,17.39,40.0,40.0,50.0,0.0,22.22,20.0,40.0,,
Keegan Murray,79.47,43.36,38.89,24.29,31.58,41.98,31.48,52.0,32.26,40.0,42.86,0.0,60.0,0.0
Keion Brooks Jr.,75.0,22.73,42.86,20.0,22.22,33.33,60.0,66.67,66.67,100.0,,100.0,100.0,100.0
Kel'el Ware,71.67,43.66,22.22,43.14,23.08,26.67,18.18,58.33,69.57,0.0,0.0,25.0,33.33,100.0
Keldon Johnson,67.31,44.25,25.0,48.65,35.14,19.15,34.62,42.0,21.43,0.0,0.0,0.0,,0.0
Kelly Olynyk,63.89,51.35,28.57,45.0,42.86,100.0,42.86,30.77,16.67,42.86,57.14,0.0,50.0,0.0
Kelly Oubre Jr.,67.27,44.6,29.09,23.81,25.86,35.9,36.36,48.15,19.35,40.0,50.0,0.0,,66.67
Kenrich Williams,67.92,48.39,28.57,38.78,40.48,45.45,41.67,44.44,41.67,12.5,50.0,50.0,50.0,66.67
Kentavious Caldwell-Pope,72.73,40.0,31.4,38.6,31.82,29.58,39.29,57.14,46.15,54.05,65.0,43.48,63.64,36.36
Keon Ellis,84.75,57.89,36.96,44.0,37.88,53.73,46.15,54.55,30.0,0.0,37.5,66.67,33.33,
Keon Johnson,54.33,36.73,30.39,26.58,35.16,35.71,29.69,40.0,26.67,30.0,57.14,66.67,0.0,33.33
Keshad Johnson,88.24,33.33,66.67,0.0,100.0,0.0,,,,,,,,
Kessler Edwards,66.67,50.0,53.33,0.0,57.14,40.0,30.0,25.0,37.5,0.0,100.0,0.0,,
Kevin Durant,78.26,51.56,44.21,42.86,38.75,53.66,44.19,58.33,49.15,56.36,51.72,54.32,52.94,36.36
Kevin Huerter,75.26,46.3,31.46,22.22,40.95,37.78,43.14,45.0,60.0,11.11,50.0,40.0,100.0,
Kevin Knox,64.71,50.0,33.33,33.33,20.0,40.0,0.0,50.0,100.0,100.0,,,,0.0
Kevin Love,38.46,28.57,25.0,48.0,28.57,27.27,66.67,42.86,33.33,50.0,,0.0,0.0,
Kevin McCullar Jr.,100.0,25.0,,,0.0,,,,0.0,,,,,
Kevin Porter Jr.,63.38,43.67,33.33,31.82,27.59,44.44,43.75,42.86,53.33,36.49,50.0,45.9,0.0,62.5
Kevon Looney,64.1,32.61,,0.0,0.0,100.0,100.0,23.81,18.18,25.0,0.0,14.29,50.0,50.0
Keyonte George,62.89,44.83,28.05,40.44,27.82,50.0,47.62,34.92,36.17,20.0,36.84,40.0,25.0,50.0
Khris Middleton,62.5,55.56,36.96,37.5,37.5,26.67,42.86,56.25,48.39,58.33,48.15,70.0,61.54,16.67
Killian Hayes,62.5,33.33,0.0,50.0,40.0,33.33,,,50.0,0.0,,,,
Klay Thompson,67.14,37.74,45.86,42.5,32.52,30.36,42.16,37.93,39.29,40.0,40.0,39.53,36.84,50.0
Kobe Brown,72.22,46.67,25.0,12.5,20.0,50.0,50.0,,0.0,,0.0,,,
Kobe Bufkin,50.0,62.5,25.0,0.0,50.0,50.0,0.0,33.33,,,0.0,50.0,,
Kris Dunn,67.74,41.41,41.86,25.0,32.08,31.67,35.82,63.64,80.0,20.0,0.0,0.0,100.0,
Kris Murray,62.71,37.5,4.55,12.5,28.57,17.86,37.5,50.0,27.27,,,,,100.0
Kristaps Porziņģis,66.9,44.35,45.59,37.9,33.85,28.57,36.36,66.67,46.88,33.33,19.05,42.86,33.33,66.67
Kyle Anderson,70.51,44.21,50.0,29.41,16.67,40.91,50.0,39.29,20.0,25.0,57.14,0.0,0.0,33.33
Kyle Filipowski,68.21,52.08,47.62,36.36,17.78,41.18,34.88,61.9,62.5,25.0,0.0,100.0,,
Kyle Kuzma,69.92,39.1,26.88,35.09,30.14,44.68,19.51,41.67,34.21,23.53,35.71,25.0,14.29,42.86
Kyle Lowry,66.67,28.57,34.62,13.33,44.0,20.0,50.0,33.33,33.33,40.0,50.0,,,0.0
Kylor Kelley,75.0,33.33,,,,,,100.0,66.67,,,,,
Kyrie Irving,69.32,46.45,37.14,39.18,40.7,47.06,58.33,28.3,55.17,44.44,50.0,34.15,46.67,50.0
Kyshawn George,59.62,44.44,34.31,28.75,31.91,35.42,34.62,21.74,15.38,20.0,20.0,66.67,0.0,0.0
LaMelo Ball,54.65,48.24,33.15,39.63,29.92,30.43,34.62,40.35,33.33,38.46,23.08,45.45,100.0,33.33
Lamar Stevens,57.14,46.67,30.0,75.0,0.0,20.0,14.29,0.0,75.0,100.0,,0.0,,
Landry Shamet,67.57,66.67,21.05,36.0,55.17,36.0,50.0,33.33,42.86,50.0,50.0,0.0,50.0,33.33
Larry Nance Jr.,68.09,47.06,45.45,50.0,42.11,45.45,47.06,50.0,0.0,50.0,,0.0,100.0,100.0
Lauri Markkanen,65.41,42.47,29.92,39.5,29.11,41.03,41.18,47.62,52.38,11.11,37.5,33.33,0.0,50.0
LeBron James,75.7,41.58,34.33,40.72,34.78,37.04,43.75,40.82,52.63,50.82,42.86,32.61,50.0,16.67
Leonard Miller,66.67,50.0,0.0,,0.0,,,0.0,,,,,,
Lester Quiñones,75.0,37.5,35.29,27.27,28.57,25.0,33.33,0.0,0.0,,0.0,,,0.0
Liam Robbins,33.33,50.0,0.0,0.0,,,,,,,,,,
Lindy Waters III,57.14,33.33,28.57,56.67,28.57,37.93,27.59,36.36,40.0,50.0,50.0,0.0,66.67,33.33
Lonnie Walker IV,61.54,43.75,21.74,41.46,41.46,11.11,50.0,25.0,50.0,18.18,40.0,80.0,100.0,100.0
Lonzo Ball,57.89,35.71,33.33,33.33,34.88,52.17,22.22,100.0,,28.57,66.67,0.0,,0.0
Luguentz Dort,59.41,37.78,40.8,32.93,39.6,36.36,43.66,30.0,16.67,77.78,33.33,44.44,100.0,33.33
Luka Dončić,71.17,47.49,38.46,40.45,31.16,42.11,42.86,59.09,46.15,42.86,22.5,29.73,69.23,40.0
Luka Garza,69.23,57.89,33.33,30.0,28.57,0.0,0.0,57.14,33.33,,0.0,0.0,,
Luke Kennard,70.83,51.67,40.85,40.54,39.66,61.29,40.54,33.33,70.0,47.06,62.5,45.0,0.0,50.0
Luke Kornet,74.49,36.59,,0.0,,,0.0,57.14,25.0,100.0,,,,
Luke Travers,45.45,,0.0,0.0,0.0,0.0,0.0,,,,,,,
Mac McClung,,0.0,,0.0,,,,,,,,,,
Malachi Flynn,100.0,20.0,0.0,100.0,,,,50.0,,,,,,
Malaki Branham,76.19,38.1,41.67,40.0,35.71,36.36,66.67,33.33,22.22,37.5,22.22,60.0,0.0,0.0
Malcolm Brogdon,64.29,45.71,25.0,18.18,43.75,25.0,100.0,31.25,20.0,15.38,30.0,50.0,0.0,
Malevy Leons,,0.0,,,,,0.0,,,,,,,
Malik Beasley,63.83,46.88,34.62,41.98,37.26,52.08,50.56,41.18,17.86,52.0,30.0,31.25,33.33,20.0
Malik Monk,61.45,51.79,25.2,30.88,37.61,39.39,55.0,40.0,48.89,31.58,52.38,66.67,50.0,80.0
MarJon Beauchamp,78.57,20.0,28.57,60.0,33.33,42.86,0.0,0.0,33.33,50.0,0.0,,,100.0
Marcus Bagley,70.0,25.0,0.0,25.0,0.0,20.0,37.5,0.0,0.0,,,0.0,,
Marcus Garrett,60.0,33.33,0.0,50.0,50.0,0.0,50.0,,,,,100.0,,0.0
Marcus Sasser,71.11,58.7,32.43,45.9,30.0,23.08,60.0,41.18,20.0,57.14,33.33,25.0,0.0,75.0
Marcus Smart,64.0,41.67,44.12,33.33,32.26,33.33,31.25,33.33,25.0,60.0,50.0,100.0,0.0,
Mark Williams,71.93,38.46,0.0,0.0,0.0,0.0,,43.48,25.0,33.33,100.0,,,
Markelle Fultz,80.0,39.13,0.0,,100.0,50.0,50.0,44.44,0.0,62.5,50.0,0.0,,0.0
Markieff Morris,12.5,60.0,30.0,37.5,33.33,14.29,0.0,100.0,0.0,0.0,16.67,100.0,33.33,100.0
Marvin Bagley III,72.22,35.71,0.0,16.67,16.67,20.0,0.0,0.0,44.44,50.0,,,,0.0
Mason Jones,100.0,83.33,33.33,0.0,0.0,,0.0,0.0,,,,,,
Mason Plumlee,78.03,39.58,,0.0,,0.0,,0.0,16.67,0.0,0.0,,,
Matas Buzelis,60.61,40.0,37.5,43.75,26.67,43.75,25.93,44.44,41.67,50.0,100.0,0.0,25.0,0.0
Matisse Thybulle,66.67,45.45,66.67,60.0,27.27,35.71,50.0,25.0,42.86,,,,,
Matt Ryan,75.0,0.0,66.67,16.67,50.0,20.0,33.33,50.0,,0.0,0.0,,0.0,
Max Christie,76.92,30.77,35.96,34.88,36.51,43.75,32.73,32.0,44.44,42.11,35.71,42.86,37.5,0.0
Max Strus,69.23,40.0,38.27,40.32,38.0,37.7,37.5,40.0,50.0,0.0,,,,
Maxi Kleber,60.0,15.38,22.22,25.0,27.27,20.0,23.08,,100.0,66.67,100.0,,0.0,75.0
Maxwell Lewis,65.52,35.29,43.75,42.86,28.57,30.77,42.86,0.0,0.0,0.0,0.0,50.0,0.0,
Micah Potter,79.17,54.55,13.33,35.29,50.0,40.74,25.81,0.0,,,100.0,,,
Michael Porter Jr.,73.53,49.5,43.88,34.09,40.14,42.5,42.5,40.0,58.33,37.29,34.29,37.04,62.5,62.5
Mikal Bridges,76.28,52.66,31.03,22.22,33.94,38.68,44.53,48.8,53.85,43.18,53.57,40.68,54.55,45.0
Mike Conley,52.38,30.77,35.44,36.84,37.23,48.84,47.54,42.86,35.0,0.0,14.29,0.0,0.0,0.0
Miles Bridges,65.83,38.1,32.98,30.58,26.79,32.69,42.86,41.54,25.0,15.38,44.44,33.33,50.0,33.33
Miles McBride,51.06,34.69,39.5,22.22,41.67,40.68,36.17,60.0,39.13,52.17,28.57,44.44,57.14,57.14
Miles Norris,0.0,0.0,66.67,0.0,0.0,,,,,,,,,
Mitchell Robinson,61.9,0.0,,,,,,100.0,0.0,,,,,
Mo Bamba,77.14,37.5,40.0,20.0,40.0,50.0,0.0,50.0,,100.0,0.0,,,
Monte Morris,63.16,44.0,38.89,42.86,30.0,21.05,50.0,28.57,57.14,16.67,66.67,33.33,50.0,66.67
Moritz Wagner,70.21,42.86,18.75,43.48,41.67,41.67,33.33,60.0,33.33,0.0,,,,
Moses Brown,83.33,44.44,,,,,,100.0,0.0,,,,,
Moses Moody,70.16,37.8,35.0,34.88,34.45,43.48,38.57,37.5,27.27,0.0,33.33,0.0,0.0,25.0
Mouhamed Gueye,65.15,47.37,25.0,37.5,25.0,30.43,21.43,50.0,0.0,0.0,,,,66.67
Moussa Diabaté,66.67,42.62,0.0,0.0,,0.0,0.0,87.5,40.0,,,,,0.0
Myles Turner,68.84,43.75,46.38,38.55,26.92,60.0,46.94,42.86,36.36,56.0,60.0,58.82,0.0,60.0
N'Faly Dante,77.78,100.0,,,,,,100.0,,,,0.0,,
Nae'Qwan Tomlin,52.94,40.0,40.0,0.0,0.0,,0.0,,,,,,,
Naji Marshall,70.94,54.87,26.32,40.0,20.69,38.6,21.28,57.14,40.0,80.0,60.0,100.0,75.0,
Naz Reid,65.38,49.09,40.37,38.24,37.5,38.57,35.59,44.07,40.74,0.0,25.0,50.0,0.0,
Neemias Queta,71.62,51.35,0.0,,,,0.0,20.0,66.67,,,,100.0,
Nic Claxton,72.76,38.46,0.0,28.57,20.0,25.0,25.0,38.1,35.48,28.57,50.0,33.33,0.0,33.33
Nick Richards,72.41,40.62,,,,,0.0,28.57,36.36,60.0,0.0,0.0,0.0,
Nick Smith Jr.,56.82,43.36,37.66,36.9,25.33,36.59,36.36,36.36,57.14,47.62,33.33,54.55,50.0,0.0
Nickeil Alexander-Walker,64.71,34.85,38.1,28.77,31.58,52.46,42.39,33.33,45.16,33.33,38.46,37.5,60.0,0.0
Nicolas Batum,63.16,20.0,38.89,43.33,43.64,43.64,43.33,0.0,0.0,50.0,100.0,50.0,0.0,0.0
Nikola Jokić,71.65,56.48,40.32,45.5,41.67,83.33,33.33,55.37,48.78,45.0,40.0,56.67,50.0,42.86
Nikola Jović,72.22,40.48,24.07,33.33,33.93,52.5,39.22,33.33,50.0,0.0,50.0,100.0,0.0,50.0
Nikola Vučević,66.15,58.82,29.23,41.36,52.5,43.75,36.36,50.0,48.08,30.0,36.36,50.0,53.85,60.0
Noah Clowney,55.93,18.75,32.0,32.88,30.65,34.29,36.36,16.67,28.57,100.0,0.0,,,0.0
Norman Powell,66.14,47.43,43.12,40.16,42.86,36.36,41.18,40.0,33.33,55.56,41.67,40.0,33.33,33.33
OG Anunoby,65.28,38.95,41.27,30.67,39.08,34.62,37.86,35.0,28.0,25.0,5.88,40.91,38.46,50.0
Obi Toppin,77.83,53.33,27.91,36.17,30.36,42.17,48.0,58.82,61.11,0.0,25.0,100.0,33.33,0.0
Ochai Agbaji,66.21,30.77,32.56,40.0,43.9,42.65,39.47,45.45,18.75,66.67,50.0,0.0,0.0,
Olivier-Maxence Prosper,60.56,29.17,11.11,0.0,66.67,21.43,27.78,22.22,33.33,0.0,0.0,0.0,50.0,
Onyeka Okongwu,70.96,49.01,44.44,28.3,33.33,50.0,32.84,47.06,40.0,0.0,,0.0,,0.0
Orlando Robinson,58.42,35.62,25.0,31.03,50.0,0.0,33.33,52.94,25.0,33.33,50.0,,,0.0
Oscar Tshiebwe,76.67,50.0,,,,,,37.5,,,,,,
Oshae Brissett,64.29,75.0,20.0,50.0,40.0,0.0,40.0,50.0,0.0,,,,,
Oso Ighodaro,82.05,47.62,,0.0,,,,50.0,50.0,33.33,0.0,0.0,100.0,
Ousmane Dieng,65.52,35.71,25.0,47.06,22.22,0.0,43.75,100.0,100.0,,100.0,50.0,0.0,33.33
P.J. Tucker,,,0.0,,,66.67,50.0,,0.0,,,,,
P.J. Washington,66.67,36.69,42.03,32.5,36.96,37.93,34.38,40.0,37.5,37.5,40.0,20.0,0.0,0.0
PJ Dozier,,,,50.0,,100.0,,,,,,,,
PJ Hall,72.73,100.0,0.0,33.33,25.0,,,66.67,,,,,,
Pacome Dadiet,60.0,,66.67,20.0,,0.0,20.0,0.0,0.0,,33.33,,,100.0
Paolo Banchero,67.32,39.49,37.23,27.59,35.9,22.22,29.41,33.33,40.38,41.54,25.64,40.62,87.5,44.44
Pascal Siakam,73.71,50.21,30.56,43.86,38.46,44.44,36.07,56.25,41.49,43.75,42.19,39.13,36.84,16.67
Pat Connaughton,63.24,50.0,38.89,31.82,38.1,0.0,28.57,41.67,50.0,,0.0,100.0,,
Pat Spencer,51.35,57.58,0.0,37.5,33.33,20.0,,50.0,33.33,0.0,0.0,50.0,100.0,
Patrick Baldwin Jr.,60.0,0.0,57.14,50.0,50.0,100.0,66.67,,0.0,,,,,
Patrick Williams,50.0,49.06,36.76,30.91,34.52,42.86,33.33,16.67,33.33,21.43,25.0,45.45,100.0,66.67
Patty Mills,50.0,25.0,12.5,48.0,30.43,50.0,50.0,,66.67,50.0,33.33,50.0,,
Paul George,74.03,38.18,30.36,42.86,37.14,33.33,25.0,29.41,38.89,46.15,41.94,39.47,58.82,30.0
Paul Reed,69.44,28.57,33.33,22.22,100.0,,20.0,50.0,20.0,50.0,66.67,50.0,0.0,50.0
Payton Pritchard,74.83,50.0,42.41,37.23,40.91,41.46,48.57,50.0,68.75,50.0,30.0,41.18,50.0,75.0
Pelle Larsson,59.76,45.45,45.16,20.0,17.86,37.5,44.44,37.5,0.0,0.0,,0.0,,
Pete Nance,80.0,,100.0,28.57,14.29,0.0,100.0,,,,50.0,,,
Peyton Watson,63.41,37.68,25.0,40.0,16.0,49.02,39.39,47.37,35.29,9.09,0.0,0.0,0.0,0.0
Phillip Wheeler,27.27,,0.0,,0.0,,0.0,,,,,,,
Precious Achiuwa,62.37,36.11,50.0,0.0,20.0,31.82,16.67,30.0,35.0,40.0,,0.0,,
Quentin Grimes,68.02,43.4,38.73,33.01,32.35,50.0,45.71,47.37,33.33,28.57,36.67,34.78,55.56,40.0
Quenton Jackson,58.73,50.0,37.5,50.0,28.57,33.33,25.0,,25.0,33.33,0.0,0.0,,0.0
Quincy Olivari,,,50.0,0.0,,,0.0,,,,,,,
Quinten Post,45.1,61.76,33.33,42.37,38.64,40.0,48.28,37.5,33.33,33.33,,0.0,50.0,50.0
RJ Barrett,61.01,38.36,28.77,32.81,37.5,37.5,43.59,37.78,43.48,12.5,37.5,100.0,100.0,
RayJ Dennis,100.0,0.0,16.67,75.0,33.33,0.0,0.0,100.0,,100.0,100.0,,,
Rayan Rupert,56.82,40.91,14.29,12.5,28.57,33.33,50.0,58.33,50.0,,,0.0,0.0,
Reece Beekman,55.26,31.58,14.29,0.0,16.67,22.22,28.57,0.0,,0.0,25.0,0.0,,
Reed Sheppard,60.87,30.77,38.3,33.33,32.43,33.33,16.67,26.67,16.67,50.0,0.0,30.0,0.0,0.0
Reggie Jackson,55.56,54.55,36.0,33.33,33.33,28.57,57.14,60.0,33.33,40.0,0.0,33.33,0.0,
Richaun Holmes,74.74,50.0,,0.0,,0.0,0.0,20.0,60.0,,,,,0.0
Ricky Council IV,59.52,40.24,23.73,24.39,20.0,50.0,36.84,25.0,38.46,27.27,33.33,0.0,0.0,
Riley Minix,,,,,0.0,,,,,,,,,
Rob Dillingham,62.5,51.85,37.5,13.04,50.0,57.14,50.0,47.06,40.0,9.09,33.33,0.0,50.0,0.0
Robert Williams,76.27,16.67,0.0,,,0.0,100.0,33.33,25.0,,100.0,0.0,0.0,
Ron Harper Jr.,0.0,,,0.0,0.0,0.0,0.0,100.0,,,,,,
Ron Holland,65.38,56.6,28.57,17.65,34.48,20.0,19.15,51.61,56.25,50.0,20.0,100.0,0.0,0.0
Royce O'Neale,64.06,32.43,40.0,33.96,36.62,48.39,55.1,66.67,21.43,0.0,0.0,100.0,,
Rudy Gobert,74.21,26.09,,,,,,33.33,14.29,0.0,0.0,,0.0,
Rui Hachimura,71.21,35.62,45.1,36.36,39.29,39.06,50.85,50.0,37.5,60.0,35.71,33.33,50.0,0.0
Russell Westbrook,64.06,36.73,24.74,24.07,33.9,36.36,44.29,28.0,39.13,21.05,36.84,29.41,0.0,33.33
Ryan Dunn,70.97,51.85,35.71,27.78,25.4,35.29,32.5,25.0,33.33,33.33,100.0,33.33,,0.0
Ryan Rollins,68.12,42.11,35.48,17.65,50.0,53.33,40.0,44.44,41.67,60.0,14.29,25.0,60.0,66.67
Sam Hauser,72.73,70.0,41.88,36.84,39.62,42.37,47.54,60.0,42.86,100.0,60.0,25.0,60.0,100.0
Sam Merrill,71.79,50.0,37.76,29.87,41.38,43.33,32.35,25.0,100.0,40.0,,,100.0,0.0
Sandro Mamukelashvili,76.25,54.17,45.0,39.13,35.9,28.57,28.57,14.29,83.33,,,50.0,0.0,
